State,State Code,Year,Year Code,Deaths,Population,Crude Rate
Alabama,1,1999,1999,35,4430141,0.8
Alabama,1,2000,2000,41,4447100,0.9
Alabama,1,2001,2001,51,4467634,1.1
Alabama,1,2002,2002,65,4480089,1.5
Alabama,1,2003,2003,45,4503491,1
Alabama,1,2004,2004,76,4530729,1.7
Alabama,1,2005,2005,74,4569805,1.6
Alabama,1,2006,2006,120,4628981,2.6
Alabama,1,2007,2007,158,4672840,3.4
Alabama,1,2008,2008,181,4718206,3.8
Alabama,1,2009,2009,203,4757938,4.3
Alabama,1,2010,2010,174,4779736,3.6
Alabama,1,2011,2011,167,4802740,3.5
Alabama,1,2012,2012,156,4822023,3.2
Alabama,1,2013,2013,154,4833722,3.2
Alabama,1,2014,2014,259,4849377,5.3
Alabama,1,2015,2015,266,4858979,5.5
Alabama,1,2016,2016,333,4863300,6.8
Alabama,1,2017,2017,405,4874747,8.3
Alabama,1,2018,2018,372,4887871,7.6
Alabama,1,2019,2019,405,4903185,8.3
Alabama,1,2020,2020,598,4921532,12.2
Alaska,2,1999,1999,19,624779,Unreliable
Alaska,2,2000,2000,25,626932,4
Alaska,2,2001,2001,11,633714,Unreliable
Alaska,2,2005,2005,17,666946,Unreliable
Alaska,2,2006,2006,24,675302,3.6
Alaska,2,2007,2007,14,680300,Unreliable
Alaska,2,2008,2008,85,687455,12.4
Alaska,2,2009,2009,85,698895,12.2
Alaska,2,2010,2010,62,710231,8.7
Alaska,2,2011,2011,64,722718,8.9
Alaska,2,2012,2012,73,731449,10
Alaska,2,2013,2013,62,735132,8.4
Alaska,2,2014,2014,74,736732,10
Alaska,2,2015,2015,86,738432,11.6
Alaska,2,2016,2016,92,741894,12.4
Alaska,2,2017,2017,97,739795,13.1
Alaska,2,2018,2018,63,737438,8.5
Alaska,2,2019,2019,83,731545,11.3
Alaska,2,2020,2020,109,731158,14.9
Arizona,4,1999,1999,135,5023823,2.7
Arizona,4,2000,2000,128,5130632,2.5
Arizona,4,2001,2001,146,5273477,2.8
Arizona,4,2002,2002,213,5396255,3.9
Arizona,4,2003,2003,277,5510364,5
Arizona,4,2004,2004,258,5652404,4.6
Arizona,4,2005,2005,301,5839077,5.2
Arizona,4,2006,2006,349,6029141,5.8
Arizona,4,2007,2007,356,6167681,5.8
Arizona,4,2008,2008,423,6280362,6.7
Arizona,4,2009,2009,505,6343154,8
Arizona,4,2010,2010,528,6392017,8.3
Arizona,4,2011,2011,491,6482505,7.6
Arizona,4,2012,2012,480,6553255,7.3
Arizona,4,2013,2013,486,6626624,7.3
Arizona,4,2014,2014,560,6731484,8.3
Arizona,4,2015,2015,630,6828065,9.2
Arizona,4,2016,2016,727,6931071,10.5
Arizona,4,2017,2017,873,7016270,12.4
Arizona,4,2018,2018,1078,7171646,15
Arizona,4,2019,2019,1261,7278717,17.3
Arizona,4,2020,2020,1858,7421401,25
Arkansas,5,1999,1999,24,2651860,0.9
Arkansas,5,2000,2000,18,2673400,Unreliable
Arkansas,5,2001,2001,27,2691571,1
Arkansas,5,2002,2002,83,2705927,3.1
Arkansas,5,2003,2003,85,2724816,3.1
Arkansas,5,2004,2004,119,2749686,4.3
Arkansas,5,2005,2005,116,2781097,4.2
Arkansas,5,2006,2006,132,2821761,4.7
Arkansas,5,2007,2007,144,2848650,5.1
Arkansas,5,2008,2008,194,2874554,6.7
Arkansas,5,2009,2009,196,2896843,6.8
Arkansas,5,2010,2010,182,2915918,6.2
Arkansas,5,2011,2011,161,2937979,5.5
Arkansas,5,2012,2012,165,2949131,5.6
Arkansas,5,2013,2013,153,2959373,5.2
Arkansas,5,2014,2014,163,2966369,5.5
Arkansas,5,2015,2015,193,2978204,6.5
Arkansas,5,2016,2016,160,2988248,5.4
Arkansas,5,2017,2017,178,3004279,5.9
Arkansas,5,2018,2018,199,3013825,6.6
Arkansas,5,2019,2019,194,3017804,6.4
Arkansas,5,2020,2020,278,3030522,9.2
California,6,1999,1999,1225,33499204,3.7
California,6,2000,2000,848,33871648,2.5
California,6,2001,2001,457,34479458,1.3
California,6,2002,2002,1245,34871843,3.6
California,6,2003,2003,1223,35253159,3.5
California,6,2004,2004,1211,35574576,3.4
California,6,2005,2005,1171,35827943,3.3
California,6,2006,2006,1296,36021202,3.6
California,6,2007,2007,1464,36250311,4
California,6,2008,2008,1640,36604337,4.5
California,6,2009,2009,1840,36961229,5
California,6,2010,2010,1779,37253956,4.8
California,6,2011,2011,1797,37691912,4.8
California,6,2012,2012,1581,38041430,4.2
California,6,2013,2013,1776,38332521,4.6
California,6,2014,2014,1885,38802500,4.9
California,6,2015,2015,1874,39144818,4.8
California,6,2016,2016,1884,39250017,4.8
California,6,2017,2017,2072,39536653,5.2
California,6,2018,2018,2307,39557045,5.8
California,6,2019,2019,3144,39512223,8
California,6,2020,2020,5411,39368078,13.7
Colorado,8,1999,1999,108,4226018,2.6
Colorado,8,2000,2000,112,4301261,2.6
Colorado,8,2001,2001,134,4425687,3
Colorado,8,2002,2002,140,4490406,3.1
Colorado,8,2003,2003,139,4528732,3.1
Colorado,8,2004,2004,152,4575013,3.3
Colorado,8,2005,2005,220,4631888,4.7
Colorado,8,2006,2006,242,4720423,5.1
Colorado,8,2007,2007,309,4803868,6.4
Colorado,8,2008,2008,290,4889730,5.9
Colorado,8,2009,2009,343,4972195,6.9
Colorado,8,2010,2010,268,5029196,5.3
Colorado,8,2011,2011,384,5116796,7.5
Colorado,8,2012,2012,378,5187582,7.3
Colorado,8,2013,2013,406,5268367,7.7
Colorado,8,2014,2014,486,5355866,9.1
Colorado,8,2015,2015,471,5456574,8.6
Colorado,8,2016,2016,520,5540545,9.4
Colorado,8,2017,2017,560,5607154,10
Colorado,8,2018,2018,555,5695564,9.7
Colorado,8,2019,2019,625,5758736,10.9
Colorado,8,2020,2020,964,5807719,16.6
Connecticut,9,1999,1999,122,3386401,3.6
Connecticut,9,2000,2000,134,3405565,3.9
Connecticut,9,2001,2001,129,3432835,3.8
