State,Income 2019,Crude Rate
The United States,72808,15
Alabama,59558,8.3
Alaska,83079,11.3
Arizona,74897,17.3
Arkansas,57799,6.4
California,82772,8
Colorado,76832,10.9
Connecticut,92507,30.7
Delaware,78628,39.2
District of Columbia,98675,34.1
Florida,61856,17.3
Georgia,60012,8
Hawaii,93265,3.8
Idaho,69932,7.3
Illinois,78845,17.3
Indiana,70679,18.2
Iowa,70002,5
Kansas,77523,6.2
Kentucky,58989,22.9
Louisiana,54797,11.6
Maine,70523,23.9
Maryland,101283,34.6
Massachusetts,92949,28.4
Michigan,67951,17.7
Minnesota,86292,7.5
Mississippi,47463,8.1
Missouri,64218,17.6
Montana,63792,6.5
Nebraska,77437,3.4
Nevada,75143,11.8
New Hampshire,92093,26.8
New Jersey,92969,27.8
New Mexico,56287,18.6
New York,76149,14.9
North Carolina,64814,17.1
North Dakota,74216,5
Ohio,68527,29.1
Oklahoma,62946,6.6
Oregon,78860,7.7
Pennsylvania,74800,23.4
Rhode Island,74344,22.3
South Carolina,65735,16.4
South Dakota,68095,4.4
Tennessee,60011,22.2
Texas,71474,5
Utah,89574,12.4
Vermont,78746,18.1
Virginia,86172,14.7
Washington,87381,10.7
West Virginia,56916,37.3
Wisconsin,71380,15.9
Wyoming,69027,8.1
