,State,2019
0,The United States,72808
1,Alabama,59558
2,Alaska,83079
3,Arizona,74897
4,Arkansas,57799
5,California,82772
6,Colorado,76832
7,Connecticut,92507
8,Delaware,78628
9,District of Columbia,98675
10,Florida,61856
11,Georgia,60012
12,Hawaii,93265
13,Idaho,69932
14,Illinois,78845
15,Indiana,70679
16,Iowa,70002
17,Kansas,77523
18,Kentucky,58989
19,Louisiana,54797
20,Maine,70523
21,Maryland,101283
22,Massachusetts,92949
23,Michigan,67951
24,Minnesota,86292
25,Mississippi,47463
26,Missouri,64218
27,Montana,63792
28,Nebraska,77437
29,Nevada,75143
30,New Hampshire,92093
31,New Jersey,92969
32,New Mexico,56287
33,New York,76149
34,North Carolina,64814
35,North Dakota,74216
36,Ohio,68527
37,Oklahoma,62946
38,Oregon,78860
39,Pennsylvania,74800
40,Rhode Island,74344
41,South Carolina,65735
42,South Dakota,68095
43,Tennessee,60011
44,Texas,71474
45,Utah,89574
46,Vermont,78746
47,Virginia,86172
48,Washington,87381
49,West Virginia,56916
50,Wisconsin,71380
51,Wyoming,69027
