Year,Year Code,Race,Deaths,Population,Crude Rate
1999,1999,American Indian or Alaska Native,45,2832761,1.6
1999,1999,Asian or Pacific Islander,25,11346496,0.2
1999,1999,Black or African American,505,36173121,1.4
1999,1999,White,4864,228687790,2.1
2000,2000,American Indian or Alaska Native,53,2984150,1.8
2000,2000,Asian or Pacific Islander,29,11757685,0.2
2000,2000,Black or African American,546,36594309,1.5
2000,2000,White,5219,230085762,2.3
2001,2001,American Indian or Alaska Native,60,3097333,1.9
2001,2001,Asian or Pacific Islander,29,12429181,0.2
2001,2001,Black or African American,584,37249775,1.6
2001,2001,White,6280,232192666,2.7
2002,2002,American Indian or Alaska Native,85,3202471,2.7
2002,2002,Asian or Pacific Islander,50,12953763,0.4
2002,2002,Black or African American,709,37748424,1.9
2002,2002,White,8321,233720535,3.6
2003,2003,American Indian or Alaska Native,111,3312011,3.4
2003,2003,Asian or Pacific Islander,35,13461109,0.3
2003,2003,Black or African American,679,38209741,1.8
2003,2003,White,9410,235125072,4
2004,2004,American Indian or Alaska Native,129,3429452,3.8
2004,2004,Asian or Pacific Islander,56,13967014,0.4
2004,2004,Black or African American,760,38738798,2
2004,2004,White,10503,236670034,4.4
2005,2005,American Indian or Alaska Native,146,3554356,4.1
2005,2005,Asian or Pacific Islander,80,14494417,0.6
2005,2005,Black or African American,888,39280731,2.3
2005,2005,White,11455,238187095,4.8
2006,2006,American Indian or Alaska Native,165,3687683,4.5
2006,2006,Asian or Pacific Islander,80,15029851,0.5
2006,2006,Black or African American,1211,39857107,3
2006,2006,White,13881,239805271,5.8
2007,2007,American Indian or Alaska Native,181,3829898,4.7
2007,2007,Asian or Pacific Islander,75,15559373,0.5
2007,2007,Black or African American,1024,40451108,2.5
2007,2007,White,15110,241390828,6.3
2008,2008,American Indian or Alaska Native,227,3983929,5.7
2008,2008,Asian or Pacific Islander,94,16094699,0.6
2008,2008,Black or African American,1025,41048959,2.5
2008,2008,White,15961,242966379,6.6
2009,2009,American Indian or Alaska Native,274,4141215,6.6
2009,2009,Asian or Pacific Islander,102,16609031,0.6
2009,2009,Black or African American,1153,41632450,2.8
2009,2009,White,16793,244388833,6.9
2010,2010,American Indian or Alaska Native,233,4263538,5.5
2010,2010,Asian or Pacific Islander,116,16993326,0.7
2010,2010,Black or African American,1142,42065334,2.7
2010,2010,White,17663,245423340,7.2
2011,2011,American Indian or Alaska Native,251,4347413,5.8
2011,2011,Asian or Pacific Islander,152,17471358,0.9
2011,2011,Black or African American,1265,42678815,3
2011,2011,White,18920,247094331,7.7
2012,2012,American Indian or Alaska Native,275,4398436,6.3
2012,2012,Asian or Pacific Islander,146,18087959,0.8
2012,2012,Black or African American,1396,43203092,3.2
2012,2012,White,19217,248224553,7.7
2013,2013,American Indian or Alaska Native,281,4457934,6.3
2013,2013,Asian or Pacific Islander,159,18630136,0.9
2013,2013,Black or African American,1791,43696271,4.1
2013,2013,White,20919,249344498,8.4
2014,2014,American Indian or Alaska Native,328,4518981,7.3
2014,2014,Asian or Pacific Islander,196,19398214,1
2014,2014,Black or African American,2234,44309394,5
2014,2014,White,24361,250630467,9.7
2015,2015,American Indian or Alaska Native,328,4577853,7.2
2015,2015,Asian or Pacific Islander,221,20102717,1.1
2015,2015,Black or African American,2689,44863196,6
2015,2015,White,28308,251875054,11.2
2016,2016,American Indian or Alaska Native,385,4630155,8.3
2016,2016,Asian or Pacific Islander,329,20487524,1.6
2016,2016,Black or African American,4357,45307020,9.6
2016,2016,White,35704,252702814,14.1
2017,2017,American Indian or Alaska Native,434,4689047,9.3
2017,2017,Asian or Pacific Islander,359,21210673,1.7
2017,2017,Black or African American,5526,45883808,12
2017,2017,White,40072,253935650,15.8
2018,2018,American Indian or Alaska Native,414,4739288,8.7
2018,2018,Asian or Pacific Islander,369,21601064,1.7
2018,2018,Black or African American,6172,46262846,13.3
2018,2018,White,38970,254564236,15.3
2019,2019,American Indian or Alaska Native,515,4785203,10.8
2019,2019,Asian or Pacific Islander,419,21814724,1.9
2019,2019,Black or African American,7661,46599393,16.4
2019,2019,White,40531,255040203,15.9
2020,2020,American Indian or Alaska Native,814,4899485,16.6
2020,2020,Asian or Pacific Islander,722,22413737,3.2
2020,2020,Black or African American,11841,47181245,25.1
2020,2020,White,54528,254989656,21.4
