State,Year,Multiple Cause of death,Deaths,Population,Crude Rate
Alabama,1999,Other opioids,10,4430141,Unreliable
Alabama,1999,Methadone,16,4430141,Unreliable
Alabama,1999,Other synthetic narcotics,10,4430141,Unreliable
Alabama,2000,Other opioids,26,4447100,0.6
Alabama,2000,Methadone,12,4447100,Unreliable
Alabama,2000,Other synthetic narcotics,11,4447100,Unreliable
Alabama,2001,Other opioids,22,4467634,0.5
Alabama,2001,Methadone,26,4467634,0.6
Alabama,2001,Other synthetic narcotics,Suppressed,4467634,Suppressed
Alabama,2002,Other opioids,30,4480089,0.7
Alabama,2002,Methadone,33,4480089,0.7
Alabama,2002,Other synthetic narcotics,Suppressed,4480089,Suppressed
Alabama,2003,Other opioids,22,4503491,0.5
Alabama,2003,Methadone,25,4503491,0.6
Alabama,2003,Other synthetic narcotics,Suppressed,4503491,Suppressed
Alabama,2004,Other opioids,32,4530729,0.7
Alabama,2004,Methadone,46,4530729,1
Alabama,2004,Other synthetic narcotics,12,4530729,Unreliable
Alabama,2005,Other opioids,24,4569805,0.5
Alabama,2005,Methadone,47,4569805,1
Alabama,2005,Other synthetic narcotics,11,4569805,Unreliable
Alabama,2006,Other opioids,49,4628981,1.1
Alabama,2006,Methadone,65,4628981,1.4
Alabama,2006,Other synthetic narcotics,22,4628981,0.5
Alabama,2007,Other opioids,66,4672840,1.4
Alabama,2007,Methadone,86,4672840,1.8
Alabama,2007,Other synthetic narcotics,21,4672840,0.4
Alabama,2008,Other opioids,73,4718206,1.5
Alabama,2008,Methadone,101,4718206,2.1
Alabama,2008,Other synthetic narcotics,19,4718206,Unreliable
Alabama,2009,Other opioids,92,4757938,1.9
Alabama,2009,Methadone,88,4757938,1.8
Alabama,2009,Other synthetic narcotics,31,4757938,0.7
Alabama,2010,Other opioids,82,4779736,1.7
Alabama,2010,Methadone,78,4779736,1.6
Alabama,2010,Other synthetic narcotics,34,4779736,0.7
Alabama,2011,Other opioids,92,4802740,1.9
Alabama,2011,Methadone,63,4802740,1.3
