,Company,Year,Revenue
0,Johnson & Johnson,2021,93.78
1,Johnson & Johnson,2020,82.59
2,Johnson & Johnson,2019,82.06
3,Johnson & Johnson,2018,81.60
4,Johnson & Johnson,2017,76.50
5,Johnson & Johnson,2016,71.89
6,Johnson & Johnson,2015,70.10
7,Johnson & Johnson,2014,74.30
8,Johnson & Johnson,2013,71.31
9,Johnson & Johnson,2012,67.20
10,Sinopharm,2021,81.77
11,Sinopharm,2020,71.75
12,Sinopharm,2019,60.18
13,Sinopharm,2018,48.75
14,Sinopharm,2017,43.63
15,Sinopharm,2016,36.56
16,Sinopharm,2015,32.36
17,Sinopharm,2014,28.32
18,Sinopharm,2013,23.61
19,Sinopharm,2012,19.31
20,Pfizer,Chg,
21,Pfizer,2021,81.29
22,Pfizer,2020,41.91
23,Pfizer,2019,41.17
24,Pfizer,2018,40.83
25,Pfizer,2017,52.54
26,Pfizer,2016,52.82
27,Pfizer,2015,48.85
28,Pfizer,2014,49.61
29,Pfizer,2013,51.58
30,Pfizer,2012,58.99
31,Roche,Chg,
32,Roche,2021,67.83
33,Roche,2020,62.99
34,Roche,2019,63.85
35,Roche,2018,56.86
36,Roche,2017,57.37
37,Roche,2016,50.11
38,Roche,2015,47.70
39,Roche,2014,49.86
40,Roche,2013,48.53
41,Roche,2012,47.80
42,AbbVie,Chg,
43,AbbVie,2021,56.20
44,AbbVie,2020,45.80
45,AbbVie,2019,33.27
46,AbbVie,2018,32.75
47,AbbVie,2017,28.22
48,AbbVie,2016,25.56
49,AbbVie,2015,22.82
50,AbbVie,2014,19.96
51,AbbVie,2013,18.79
52,Novartis,Chg,
53,Novartis,2021,51.63
54,Novartis,2020,48.66
55,Novartis,2019,47.45
56,Novartis,2018,44.75
57,Novartis,2017,49.11
58,Novartis,2016,48.52
59,Novartis,2015,49.41
60,Novartis,2014,58.00
61,Novartis,2013,57.36
62,Novartis,2012,56.67
63,Bayer,Chg,
64,Bayer,2021,49.46
65,Bayer,2020,47.40
66,Bayer,2019,48.02
67,Bayer,2018,45.06
68,Bayer,2017,37.94
69,Bayer,2016,25.27
70,Bayer,2015,24.09
71,Bayer,2014,25.47
72,Bayer,2013,24.17
73,Bayer,2012,24.30
74,Merck & Co.,Chg,
75,Merck & Co.,2021,48.70
76,Merck & Co.,2020,41.52
77,Merck & Co.,2019,46.84
78,Merck & Co.,2018,42.30
79,Merck & Co.,2017,40.10
80,Merck & Co.,2016,39.80
81,Merck & Co.,2015,39.50
82,Merck & Co.,2014,42.24
83,Merck & Co.,2013,44.03
84,Merck & Co.,2012,47.27
85,GlaxoSmithKline,Chg,
86,GlaxoSmithKline,2021,46.91
87,GlaxoSmithKline,2020,46.17
88,GlaxoSmithKline,2019,43.92
89,GlaxoSmithKline,2018,43.14
90,GlaxoSmithKline,2017,42.05
91,GlaxoSmithKline,2016,34.79
92,GlaxoSmithKline,2015,29.84
93,GlaxoSmithKline,2014,37.96
94,GlaxoSmithKline,2013,41.61
95,GlaxoSmithKline,2012,39.93
96,Bristol Myers Squibb,Chg,
97,Bristol Myers Squibb,2021,46.39
98,Bristol Myers Squibb,2020,42.52
99,Bristol Myers Squibb,2019,26.15
100,Bristol Myers Squibb,2018,22.56
101,Bristol Myers Squibb,2017,20.80
102,Bristol Myers Squibb,2016,19.43
103,Bristol Myers Squibb,2015,16.56
104,Bristol Myers Squibb,2014,15.88
105,Bristol Myers Squibb,2013,16.39
106,Bristol Myers Squibb,2012,17.62
107,Sanofi,2021,43.24
108,Sanofi,2020,41.27
109,Sanofi,2019,39.28
110,Sanofi,2018,39.07
111,Sanofi,2017,42.91
112,Sanofi,2016,36.57
113,Sanofi,2015,36.73
114,Sanofi,2014,43.07
115,Sanofi,2013,42.08
116,Sanofi,2012,46.41
117,Abbott Laboratories,2021,43.08
118,Abbott Laboratories,2020,34.61
119,Abbott Laboratories,2019,31.90
120,Abbott Laboratories,2018,30.60
121,Abbott Laboratories,2017,27.39
122,Abbott Laboratories,2016,20.85
123,Abbott Laboratories,2015,20.41
124,Abbott Laboratories,2014,20.25
125,Abbott Laboratories,2013,21.85
126,Abbott Laboratories,2012,39.87
127,AstraZeneca,2021,37.42
128,AstraZeneca,2020,26.62
129,AstraZeneca,2019,24.38
130,AstraZeneca,2018,22.09
131,AstraZeneca,2017,22.47
132,AstraZeneca,2016,23.00
133,AstraZeneca,2015,24.71
134,AstraZeneca,2014,26.10
135,AstraZeneca,2013,25.71
136,AstraZeneca,2012,27.97
137,Takeda Pharmaceutical,2021,29.31
138,Takeda Pharmaceutical,2020,27.76
139,Takeda Pharmaceutical,2019,31.17
140,Takeda Pharmaceutical,2018,19.10
141,Takeda Pharmaceutical,2017,16.70
142,Takeda Pharmaceutical,2016,15.96
143,Takeda Pharmaceutical,2015,14.93
144,Takeda Pharmaceutical,2014,16.84
145,Takeda Pharmaceutical,2013,17.36
146,Takeda Pharmaceutical,2012,18.91
147,Eli Lilly & Co,Chg,
148,Eli Lilly & Co,2021,28.32
149,Eli Lilly & Co,2020,24.54
150,Eli Lilly & Co,2019,22.32
151,Eli Lilly & Co,2018,21.49
152,Eli Lilly & Co,2017,22.90
153,Eli Lilly & Co,2016,21.22
154,Eli Lilly & Co,2015,20.00
155,Eli Lilly & Co,2014,19.62
156,Eli Lilly & Co,2013,23.11
157,Eli Lilly & Co,2012,22.60
158,Gilead Sciences,2021,27.31
159,Gilead Sciences,2020,24.69
160,Gilead Sciences,2019,22.45
161,Gilead Sciences,2018,22.13
162,Gilead Sciences,2017,25.70
163,Gilead Sciences,2016,30.39
164,Gilead Sciences,2015,32.15
165,Gilead Sciences,2014,24.47
166,Gilead Sciences,2013,10.80
167,Gilead Sciences,2012,9.70
168,Amgen,Chg,
169,Amgen,2021,25.98
170,Amgen,2020,25.42
171,Amgen,2019,23.40
172,Amgen,2018,23.70
173,Amgen,2017,22.80
174,Amgen,2016,22.99
175,Amgen,2015,21.66
176,Amgen,2014,20.06
177,Amgen,2013,18.68
178,Amgen,2012,17.30
179,Boehringer Ingelheim,2020,22.40
180,Boehringer Ingelheim,2019,21.75
181,Boehringer Ingelheim,2018,21.67
182,Boehringer Ingelheim,2017,17.54
183,Boehringer Ingelheim,2016,16.41
184,Boehringer Ingelheim,2015,17.70
185,Boehringer Ingelheim,2014,18.68
186,Boehringer Ingelheim,2013,18.89
187,Novo Nordisk,Chg,
188,Novo Nordisk,2021,21.66
189,Novo Nordisk,2020,19.52
190,Novo Nordisk,2019,18.30
191,Novo Nordisk,2018,6.99
192,Novo Nordisk,2017,18.77
193,Novo Nordisk,2016,16.61
194,Novo Nordisk,2015,16.06
195,Novo Nordisk,2014,15.83
196,Novo Nordisk,2013,14.88
197,Novo Nordisk,2012,13.48
198,Merck Group,Chg,
199,Merck Group,2021,21.40
200,Merck Group,2020,20.08
201,Merck Group,2019,18.25
202,Merck Group,2018,16.48
203,Merck Group,2017,18.70
204,Merck Group,2016,16.62
205,Merck Group,2015,14.25
206,Merck Group,2014,15.29
207,Merck Group,2013,14.73
208,Merck Group,2012,14.36
209,Siemens Healthineers,Chg,
210,Siemens Healthineers,2021,20.61
211,Siemens Healthineers,2020,16.56
212,Siemens Healthineers,2019,16.62
213,Siemens Healthineers,2018,15.37
214,Siemens Healthineers,2017,16.56
215,Siemens Healthineers,2016,14.25
216,Siemens Healthineers,2015,14.06
217,Viatris,2021,17.89
218,Viatris,2020,11.95
219,GE Healthcare,Chg,
220,GE Healthcare,2021,17.73
221,GE Healthcare,2020,18.01
222,GE Healthcare,2019,19.94
223,GE Healthcare,2018,19.78
224,GE Healthcare,2017,19.02
225,GE Healthcare,2016,18.21
226,GE Healthcare,2015,17.64
227,GE Healthcare,2014,18.30
228,GE Healthcare,2013,18.20
229,Regeneron Pharmaceuticals,Chg,
230,Regeneron Pharmaceuticals,2021,16.07
231,Regeneron Pharmaceuticals,2020,8.50
232,Regeneron Pharmaceuticals,2019,7.86
233,Regeneron Pharmaceuticals,2018,6.71
234,Regeneron Pharmaceuticals,2017,5.87
235,Regeneron Pharmaceuticals,2016,4.86
236,Regeneron Pharmaceuticals,2015,4.10
237,Regeneron Pharmaceuticals,2014,2.82
238,Regeneron Pharmaceuticals,2013,2.10
239,Regeneron Pharmaceuticals,2012,1.38
240,Teva Pharmaceuticals,Chg,
241,Teva Pharmaceuticals,2021,15.88
242,Teva Pharmaceuticals,2020,16.66
243,Teva Pharmaceuticals,2019,16.89
244,Teva Pharmaceuticals,2018,18.90
245,Teva Pharmaceuticals,2017,22.40
246,Teva Pharmaceuticals,2016,21.90
247,Teva Pharmaceuticals,2015,20.00
248,Teva Pharmaceuticals,2014,20.27
249,Teva Pharmaceuticals,2013,20.31
250,Teva Pharmaceuticals,2012,18.31
251,Baxter International,2021,12.778
252,Baxter International,2020,11.63
253,Baxter International,2019,11.36
254,Baxter International,2018,11.13
255,Baxter International,2017,10.56
256,Baxter International,2016,10.16
257,Baxter International,2015,9.97
258,Baxter International,2014,10.72
259,Baxter International,2013,14.97
260,Baxter International,2012,14.19
261,Biogen,Chg,
262,Biogen,2021,10.98
263,Biogen,2020,13.44
264,Biogen,2019,14.38
265,Biogen,2018,13.45
266,Biogen,2017,12.30
267,Biogen,2016,11.40
268,Biogen,2015,10.80
269,Biogen,2014,9.70
270,Biogen,2013,6.90
271,Biogen,2012,5.50
272,Astellas Pharma,Chg,
273,Astellas Pharma,2020,10.85
274,Astellas Pharma,2019,11.29
275,Astellas Pharma,2018,12.27
276,Astellas Pharma,2017,12.07
277,Astellas Pharma,2016,12.63
278,Astellas Pharma,2015,11.48
279,Astellas Pharma,2014,10.49
280,Astellas Pharma,2013,9.25
281,Astellas Pharma,2012,8.92
