State,Year,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate
Alabama,1999,Other opioids,T40.2,10,4430141,Unreliable
Alabama,2000,Other opioids,T40.2,26,4447100,0.6
Alabama,2001,Other opioids,T40.2,22,4467634,0.5
Alabama,2002,Other opioids,T40.2,30,4480089,0.7
Alabama,2003,Other opioids,T40.2,22,4503491,0.5
Alabama,2004,Other opioids,T40.2,32,4530729,0.7
Alabama,2005,Other opioids,T40.2,24,4569805,0.5
Alabama,2006,Other opioids,T40.2,49,4628981,1.1
Alabama,2007,Other opioids,T40.2,66,4672840,1.4
Alabama,2008,Other opioids,T40.2,73,4718206,1.5
Alabama,2009,Other opioids,T40.2,92,4757938,1.9
Alabama,2010,Other opioids,T40.2,82,4779736,1.7
Alabama,2011,Other opioids,T40.2,92,4802740,1.9
Alabama,2012,Other opioids,T40.2,62,4822023,1.3
Alabama,2013,Other opioids,T40.2,65,4833722,1.3
Alabama,2014,Other opioids,T40.2,90,4849377,1.9
Alabama,2015,Other opioids,T40.2,87,4858979,1.8
Alabama,2016,Other opioids,T40.2,94,4863300,1.9
Alabama,2017,Other opioids,T40.2,141,4874747,2.9
Alabama,2018,Other opioids,T40.2,126,4887871,2.6
Alabama,2019,Other opioids,T40.2,135,4903185,2.8
Alabama,2020,Other opioids,T40.2,122,4921532,2.5
Alaska,1999,Other opioids,T40.2,10,624779,Unreliable
Alaska,2000,Other opioids,T40.2,21,626932,3.3
Alaska,2006,Other opioids,T40.2,14,675302,Unreliable
Alaska,2008,Other opioids,T40.2,51,687455,7.4
Alaska,2009,Other opioids,T40.2,60,698895,8.6
Alaska,2010,Other opioids,T40.2,38,710231,5.4
Alaska,2011,Other opioids,T40.2,36,722718,5
Alaska,2012,Other opioids,T40.2,42,731449,5.7
Alaska,2013,Other opioids,T40.2,38,735132,5.2
Alaska,2014,Other opioids,T40.2,40,736732,5.4
Alaska,2015,Other opioids,T40.2,51,738432,6.9
Alaska,2016,Other opioids,T40.2,45,741894,6.1
Alaska,2017,Other opioids,T40.2,47,739795,6.4
Alaska,2018,Other opioids,T40.2,34,737438,4.6
Alaska,2019,Other opioids,T40.2,42,731545,5.7
Alaska,2020,Other opioids,T40.2,38,731158,5.2
Arizona,1999,Other opioids,T40.2,80,5023823,1.6
Arizona,2000,Other opioids,T40.2,91,5130632,1.8
Arizona,2001,Other opioids,T40.2,83,5273477,1.6
Arizona,2002,Other opioids,T40.2,128,5396255,2.4
Arizona,2003,Other opioids,T40.2,132,5510364,2.4
Arizona,2004,Other opioids,T40.2,145,5652404,2.6
Arizona,2005,Other opioids,T40.2,171,5839077,2.9
Arizona,2006,Other opioids,T40.2,187,6029141,3.1
Arizona,2007,Other opioids,T40.2,218,6167681,3.5
Arizona,2008,Other opioids,T40.2,255,6280362,4.1
Arizona,2009,Other opioids,T40.2,312,6343154,4.9
Arizona,2010,Other opioids,T40.2,327,6392017,5.1
Arizona,2011,Other opioids,T40.2,313,6482505,4.8
Arizona,2012,Other opioids,T40.2,326,6553255,5
Arizona,2013,Other opioids,T40.2,253,6626624,3.8
Arizona,2014,Other opioids,T40.2,290,6731484,4.3
Arizona,2015,Other opioids,T40.2,298,6828065,4.4
Arizona,2016,Other opioids,T40.2,326,6931071,4.7
Arizona,2017,Other opioids,T40.2,349,7016270,5
Arizona,2018,Other opioids,T40.2,311,7171646,4.3
Arizona,2019,Other opioids,T40.2,308,7278717,4.2
Arizona,2020,Other opioids,T40.2,318,7421401,4.3
Arkansas,2001,Other opioids,T40.2,14,2691571,Unreliable
Arkansas,2002,Other opioids,T40.2,40,2705927,1.5
Arkansas,2003,Other opioids,T40.2,50,2724816,1.8
Arkansas,2004,Other opioids,T40.2,63,2749686,2.3
Arkansas,2005,Other opioids,T40.2,60,2781097,2.2
Arkansas,2006,Other opioids,T40.2,68,2821761,2.4
Arkansas,2007,Other opioids,T40.2,87,2848650,3.1
Arkansas,2008,Other opioids,T40.2,110,2874554,3.8
Arkansas,2009,Other opioids,T40.2,124,2896843,4.3
Arkansas,2010,Other opioids,T40.2,118,2915918,4
Arkansas,2011,Other opioids,T40.2,114,2937979,3.9
Arkansas,2012,Other opioids,T40.2,118,2949131,4
Arkansas,2013,Other opioids,T40.2,111,2959373,3.8
Arkansas,2014,Other opioids,T40.2,119,2966369,4
Arkansas,2015,Other opioids,T40.2,144,2978204,4.8
Arkansas,2016,Other opioids,T40.2,114,2988248,3.8
Arkansas,2017,Other opioids,T40.2,116,3004279,3.9
Arkansas,2018,Other opioids,T40.2,108,3013825,3.6
Arkansas,2019,Other opioids,T40.2,88,3017804,2.9
Arkansas,2020,Other opioids,T40.2,95,3030522,3.1
California,1999,Other opioids,T40.2,936,33499204,2.8
California,2000,Other opioids,T40.2,633,33871648,1.9
California,2001,Other opioids,T40.2,319,34479458,0.9
California,2002,Other opioids,T40.2,912,34871843,2.6
California,2003,Other opioids,T40.2,820,35253159,2.3
California,2004,Other opioids,T40.2,751,35574576,2.1
California,2005,Other opioids,T40.2,765,35827943,2.1
California,2006,Other opioids,T40.2,820,36021202,2.3
California,2007,Other opioids,T40.2,917,36250311,2.5
California,2008,Other opioids,T40.2,1082,36604337,3
California,2009,Other opioids,T40.2,1147,36961229,3.1
California,2010,Other opioids,T40.2,1063,37253956,2.9
California,2011,Other opioids,T40.2,1167,37691912,3.1
California,2012,Other opioids,T40.2,965,38041430,2.5
California,2013,Other opioids,T40.2,1039,38332521,2.7
California,2014,Other opioids,T40.2,1047,38802500,2.7
California,2015,Other opioids,T40.2,1019,39144818,2.6
California,2016,Other opioids,T40.2,955,39250017,2.4
California,2017,Other opioids,T40.2,973,39536653,2.5
California,2018,Other opioids,T40.2,910,39557045,2.3
California,2019,Other opioids,T40.2,917,39512223,2.3
California,2020,Other opioids,T40.2,988,39368078,2.5
Colorado,1999,Other opioids,T40.2,42,4226018,1
Colorado,2000,Other opioids,T40.2,57,4301261,1.3
Colorado,2001,Other opioids,T40.2,93,4425687,2.1
Colorado,2002,Other opioids,T40.2,69,4490406,1.5
Colorado,2003,Other opioids,T40.2,74,4528732,1.6
Colorado,2004,Other opioids,T40.2,80,4575013,1.7
Colorado,2005,Other opioids,T40.2,105,4631888,2.3
Colorado,2006,Other opioids,T40.2,123,4720423,2.6
Colorado,2007,Other opioids,T40.2,185,4803868,3.9
Colorado,2008,Other opioids,T40.2,176,4889730,3.6
Colorado,2009,Other opioids,T40.2,170,4972195,3.4
Colorado,2010,Other opioids,T40.2,135,5029196,2.7
Colorado,2011,Other opioids,T40.2,198,5116796,3.9
Colorado,2012,Other opioids,T40.2,223,5187582,4.3
Colorado,2013,Other opioids,T40.2,221,5268367,4.2
Colorado,2014,Other opioids,T40.2,259,5355866,4.8
Colorado,2015,Other opioids,T40.2,259,5456574,4.7
Colorado,2016,Other opioids,T40.2,212,5540545,3.8
Colorado,2017,Other opioids,T40.2,254,5607154,4.5
Colorado,2018,Other opioids,T40.2,222,5695564,3.9
Colorado,2019,Other opioids,T40.2,232,5758736,4
Colorado,2020,Other opioids,T40.2,261,5807719,4.5
Connecticut,1999,Other opioids,T40.2,10,3386401,Unreliable
Connecticut,2001,Other opioids,T40.2,17,3432835,Unreliable
Connecticut,2002,Other opioids,T40.2,25,3458749,0.7
Connecticut,2003,Other opioids,T40.2,23,3484336,0.7
Connecticut,2004,Other opioids,T40.2,30,3496094,0.9
Connecticut,2005,Other opioids,T40.2,28,3506956,0.8
Connecticut,2006,Other opioids,T40.2,38,3517460,1.1
Connecticut,2007,Other opioids,T40.2,33,3527270,0.9
Connecticut,2008,Other opioids,T40.2,38,3545579,1.1
Connecticut,2009,Other opioids,T40.2,31,3561807,0.9
Connecticut,2010,Other opioids,T40.2,41,3574097,1.1
Connecticut,2011,Other opioids,T40.2,44,3580709,1.2
Connecticut,2012,Other opioids,T40.2,38,3590347,1.1
Connecticut,2013,Other opioids,T40.2,144,3596080,4
Connecticut,2014,Other opioids,T40.2,157,3596677,4.4
Connecticut,2015,Other opioids,T40.2,183,3590886,5.1
Connecticut,2016,Other opioids,T40.2,206,3576452,5.8
Connecticut,2017,Other opioids,T40.2,188,3588184,5.2
Connecticut,2018,Other opioids,T40.2,161,3572665,4.5
Connecticut,2019,Other opioids,T40.2,208,3565287,5.8
Connecticut,2020,Other opioids,T40.2,216,3557006,6.1
Delaware,2001,Other opioids,T40.2,10,795699,Unreliable
Delaware,2002,Other opioids,T40.2,19,806169,Unreliable
Delaware,2003,Other opioids,T40.2,11,818003,Unreliable
Delaware,2004,Other opioids,T40.2,13,830803,Unreliable
Delaware,2005,Other opioids,T40.2,10,845150,Unreliable
Delaware,2006,Other opioids,T40.2,13,859268,Unreliable
