State,Year,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate
Alabama,1999,Other synthetic narcotics,T40.4,10,4430141,Unreliable
Alabama,2000,Other synthetic narcotics,T40.4,11,4447100,Unreliable
Alabama,2001,Other synthetic narcotics,T40.4,Suppressed,4467634,Suppressed
Alabama,2002,Other synthetic narcotics,T40.4,Suppressed,4480089,Suppressed
Alabama,2003,Other synthetic narcotics,T40.4,Suppressed,4503491,Suppressed
Alabama,2004,Other synthetic narcotics,T40.4,12,4530729,Unreliable
Alabama,2005,Other synthetic narcotics,T40.4,11,4569805,Unreliable
Alabama,2006,Other synthetic narcotics,T40.4,22,4628981,0.5
Alabama,2007,Other synthetic narcotics,T40.4,21,4672840,0.4
Alabama,2008,Other synthetic narcotics,T40.4,19,4718206,Unreliable
Alabama,2009,Other synthetic narcotics,T40.4,31,4757938,0.7
Alabama,2010,Other synthetic narcotics,T40.4,34,4779736,0.7
Alabama,2011,Other synthetic narcotics,T40.4,19,4802740,Unreliable
Alabama,2012,Other synthetic narcotics,T40.4,16,4822023,Unreliable
Alabama,2013,Other synthetic narcotics,T40.4,30,4833722,0.6
Alabama,2014,Other synthetic narcotics,T40.4,47,4849377,1
Alabama,2015,Other synthetic narcotics,T40.4,70,4858979,1.4
Alabama,2016,Other synthetic narcotics,T40.4,157,4863300,3.2
Alabama,2017,Other synthetic narcotics,T40.4,198,4874747,4.1
Alabama,2018,Other synthetic narcotics,T40.4,147,4887871,3
Alabama,2019,Other synthetic narcotics,T40.4,213,4903185,4.3
Alabama,2020,Other synthetic narcotics,T40.4,442,4921532,9
Alaska,1999,Other synthetic narcotics,T40.4,Suppressed,624779,Suppressed
Alaska,2000,Other synthetic narcotics,T40.4,Suppressed,626932,Suppressed
Alaska,2001,Other synthetic narcotics,T40.4,Suppressed,633714,Suppressed
Alaska,2002,Other synthetic narcotics,T40.4,Suppressed,642337,Suppressed
Alaska,2003,Other synthetic narcotics,T40.4,Suppressed,648414,Suppressed
Alaska,2004,Other synthetic narcotics,T40.4,Suppressed,659286,Suppressed
Alaska,2005,Other synthetic narcotics,T40.4,Suppressed,666946,Suppressed
Alaska,2006,Other synthetic narcotics,T40.4,Suppressed,675302,Suppressed
Alaska,2007,Other synthetic narcotics,T40.4,Suppressed,680300,Suppressed
Alaska,2008,Other synthetic narcotics,T40.4,13,687455,Unreliable
Alaska,2009,Other synthetic narcotics,T40.4,22,698895,3.1
Alaska,2010,Other synthetic narcotics,T40.4,10,710231,Unreliable
Alaska,2011,Other synthetic narcotics,T40.4,Suppressed,722718,Suppressed
Alaska,2012,Other synthetic narcotics,T40.4,Suppressed,731449,Suppressed
Alaska,2013,Other synthetic narcotics,T40.4,12,735132,Unreliable
Alaska,2014,Other synthetic narcotics,T40.4,14,736732,Unreliable
Alaska,2015,Other synthetic narcotics,T40.4,14,738432,Unreliable
Alaska,2016,Other synthetic narcotics,T40.4,Suppressed,741894,Suppressed
Alaska,2017,Other synthetic narcotics,T40.4,37,739795,5
Alaska,2018,Other synthetic narcotics,T40.4,18,737438,Unreliable
Alaska,2019,Other synthetic narcotics,T40.4,24,731545,3.3
Alaska,2020,Other synthetic narcotics,T40.4,69,731158,9.4
Arizona,1999,Other synthetic narcotics,T40.4,22,5023823,0.4
Arizona,2000,Other synthetic narcotics,T40.4,17,5130632,Unreliable
Arizona,2001,Other synthetic narcotics,T40.4,20,5273477,0.4
Arizona,2002,Other synthetic narcotics,T40.4,21,5396255,0.4
Arizona,2003,Other synthetic narcotics,T40.4,22,5510364,0.4
Arizona,2004,Other synthetic narcotics,T40.4,28,5652404,0.5
Arizona,2005,Other synthetic narcotics,T40.4,35,5839077,0.6
Arizona,2006,Other synthetic narcotics,T40.4,54,6029141,0.9
Arizona,2007,Other synthetic narcotics,T40.4,38,6167681,0.6
Arizona,2008,Other synthetic narcotics,T40.4,49,6280362,0.8
Arizona,2009,Other synthetic narcotics,T40.4,55,6343154,0.9
Arizona,2010,Other synthetic narcotics,T40.4,68,6392017,1.1
Arizona,2011,Other synthetic narcotics,T40.4,40,6482505,0.6
Arizona,2012,Other synthetic narcotics,T40.4,36,6553255,0.5
Arizona,2013,Other synthetic narcotics,T40.4,52,6626624,0.8
Arizona,2014,Other synthetic narcotics,T40.4,57,6731484,0.8
Arizona,2015,Other synthetic narcotics,T40.4,72,6828065,1.1
Arizona,2016,Other synthetic narcotics,T40.4,123,6931071,1.8
Arizona,2017,Other synthetic narcotics,T40.4,267,7016270,3.8
Arizona,2018,Other synthetic narcotics,T40.4,522,7171646,7.3
Arizona,2019,Other synthetic narcotics,T40.4,796,7278717,10.9
Arizona,2020,Other synthetic narcotics,T40.4,1476,7421401,19.9
Arkansas,1999,Other synthetic narcotics,T40.4,Suppressed,2651860,Suppressed
Arkansas,2000,Other synthetic narcotics,T40.4,Suppressed,2673400,Suppressed
Arkansas,2001,Other synthetic narcotics,T40.4,Suppressed,2691571,Suppressed
Arkansas,2002,Other synthetic narcotics,T40.4,24,2705927,0.9
Arkansas,2003,Other synthetic narcotics,T40.4,26,2724816,1
Arkansas,2004,Other synthetic narcotics,T40.4,30,2749686,1.1
Arkansas,2005,Other synthetic narcotics,T40.4,26,2781097,0.9
Arkansas,2006,Other synthetic narcotics,T40.4,31,2821761,1.1
Arkansas,2007,Other synthetic narcotics,T40.4,27,2848650,0.9
Arkansas,2008,Other synthetic narcotics,T40.4,43,2874554,1.5
Arkansas,2009,Other synthetic narcotics,T40.4,59,2896843,2
Arkansas,2010,Other synthetic narcotics,T40.4,57,2915918,2
Arkansas,2011,Other synthetic narcotics,T40.4,29,2937979,1
Arkansas,2012,Other synthetic narcotics,T40.4,20,2949131,0.7
Arkansas,2013,Other synthetic narcotics,T40.4,31,2959373,1
Arkansas,2014,Other synthetic narcotics,T40.4,32,2966369,1.1
Arkansas,2015,Other synthetic narcotics,T40.4,44,2978204,1.5
Arkansas,2016,Other synthetic narcotics,T40.4,38,2988248,1.3
Arkansas,2017,Other synthetic narcotics,T40.4,68,3004279,2.3
Arkansas,2018,Other synthetic narcotics,T40.4,92,3013825,3.1
Arkansas,2019,Other synthetic narcotics,T40.4,115,3017804,3.8
Arkansas,2020,Other synthetic narcotics,T40.4,195,3030522,6.4
California,1999,Other synthetic narcotics,T40.4,87,33499204,0.3
California,2000,Other synthetic narcotics,T40.4,68,33871648,0.2
California,2001,Other synthetic narcotics,T40.4,31,34479458,0.1
California,2002,Other synthetic narcotics,T40.4,117,34871843,0.3
California,2003,Other synthetic narcotics,T40.4,119,35253159,0.3
California,2004,Other synthetic narcotics,T40.4,140,35574576,0.4
California,2005,Other synthetic narcotics,T40.4,123,35827943,0.3
California,2006,Other synthetic narcotics,T40.4,154,36021202,0.4
California,2007,Other synthetic narcotics,T40.4,138,36250311,0.4
California,2008,Other synthetic narcotics,T40.4,155,36604337,0.4
California,2009,Other synthetic narcotics,T40.4,201,36961229,0.5
California,2010,Other synthetic narcotics,T40.4,205,37253956,0.6
California,2011,Other synthetic narcotics,T40.4,164,37691912,0.4
California,2012,Other synthetic narcotics,T40.4,146,38041430,0.4
California,2013,Other synthetic narcotics,T40.4,176,38332521,0.5
California,2014,Other synthetic narcotics,T40.4,194,38802500,0.5
California,2015,Other synthetic narcotics,T40.4,229,39144818,0.6
California,2016,Other synthetic narcotics,T40.4,355,39250017,0.9
California,2017,Other synthetic narcotics,T40.4,536,39536653,1.4
California,2018,Other synthetic narcotics,T40.4,865,39557045,2.2
California,2019,Other synthetic narcotics,T40.4,1675,39512223,4.2
California,2020,Other synthetic narcotics,T40.4,4009,39368078,10.2
Colorado,1999,Other synthetic narcotics,T40.4,21,4226018,0.5
Colorado,2000,Other synthetic narcotics,T40.4,25,4301261,0.6
Colorado,2001,Other synthetic narcotics,T40.4,19,4425687,Unreliable
Colorado,2002,Other synthetic narcotics,T40.4,30,4490406,0.7
Colorado,2003,Other synthetic narcotics,T40.4,22,4528732,0.5
Colorado,2004,Other synthetic narcotics,T40.4,22,4575013,0.5
Colorado,2005,Other synthetic narcotics,T40.4,35,4631888,0.8
Colorado,2006,Other synthetic narcotics,T40.4,27,4720423,0.6
Colorado,2007,Other synthetic narcotics,T40.4,44,4803868,0.9
Colorado,2008,Other synthetic narcotics,T40.4,39,4889730,0.8
Colorado,2009,Other synthetic narcotics,T40.4,68,4972195,1.4
Colorado,2010,Other synthetic narcotics,T40.4,58,5029196,1.2
Colorado,2011,Other synthetic narcotics,T40.4,78,5116796,1.5
Colorado,2012,Other synthetic narcotics,T40.4,52,5187582,1
Colorado,2013,Other synthetic narcotics,T40.4,67,5268367,1.3
Colorado,2014,Other synthetic narcotics,T40.4,80,5355866,1.5
Colorado,2015,Other synthetic narcotics,T40.4,64,5456574,1.2
Colorado,2016,Other synthetic narcotics,T40.4,72,5540545,1.3
Colorado,2017,Other synthetic narcotics,T40.4,112,5607154,2
Colorado,2018,Other synthetic narcotics,T40.4,134,5695564,2.4
Colorado,2019,Other synthetic narcotics,T40.4,255,5758736,4.4
Colorado,2020,Other synthetic narcotics,T40.4,590,5807719,10.2
Connecticut,1999,Other synthetic narcotics,T40.4,Suppressed,3386401,Suppressed
Connecticut,2000,Other synthetic narcotics,T40.4,Suppressed,3405565,Suppressed
Connecticut,2001,Other synthetic narcotics,T40.4,Suppressed,3432835,Suppressed
Connecticut,2002,Other synthetic narcotics,T40.4,Suppressed,3458749,Suppressed
Connecticut,2003,Other synthetic narcotics,T40.4,Suppressed,3484336,Suppressed
Connecticut,2004,Other synthetic narcotics,T40.4,10,3496094,Unreliable
Connecticut,2005,Other synthetic narcotics,T40.4,10,3506956,Unreliable
Connecticut,2006,Other synthetic narcotics,T40.4,11,3517460,Unreliable
Connecticut,2007,Other synthetic narcotics,T40.4,22,3527270,0.6
Connecticut,2008,Other synthetic narcotics,T40.4,16,3545579,Unreliable
Connecticut,2009,Other synthetic narcotics,T40.4,20,3561807,0.6
Connecticut,2010,Other synthetic narcotics,T40.4,22,3574097,0.6
Connecticut,2011,Other synthetic narcotics,T40.4,13,3580709,Unreliable
Connecticut,2012,Other synthetic narcotics,T40.4,15,3590347,Unreliable
Connecticut,2013,Other synthetic narcotics,T40.4,53,3596080,1.5
Connecticut,2014,Other synthetic narcotics,T40.4,94,3596677,2.6
Connecticut,2015,Other synthetic narcotics,T40.4,211,3590886,5.9
Connecticut,2016,Other synthetic narcotics,T40.4,500,3576452,14
Connecticut,2017,Other synthetic narcotics,T40.4,686,3588184,19.1
Connecticut,2018,Other synthetic narcotics,T40.4,767,3572665,21.5
Connecticut,2019,Other synthetic narcotics,T40.4,950,3565287,26.6
Connecticut,2020,Other synthetic narcotics,T40.4,1142,3557006,32.1
Delaware,1999,Other synthetic narcotics,T40.4,Suppressed,774990,Suppressed
Delaware,2000,Other synthetic narcotics,T40.4,Suppressed,783600,Suppressed
Delaware,2001,Other synthetic narcotics,T40.4,Suppressed,795699,Suppressed
Delaware,2002,Other synthetic narcotics,T40.4,Suppressed,806169,Suppressed
Delaware,2003,Other synthetic narcotics,T40.4,Suppressed,818003,Suppressed
Delaware,2004,Other synthetic narcotics,T40.4,Suppressed,830803,Suppressed
Delaware,2005,Other synthetic narcotics,T40.4,Suppressed,845150,Suppressed
Delaware,2006,Other synthetic narcotics,T40.4,12,859268,Unreliable
Delaware,2007,Other synthetic narcotics,T40.4,Suppressed,871749,Suppressed
Delaware,2008,Other synthetic narcotics,T40.4,Suppressed,883874,Suppressed
Delaware,2009,Other synthetic narcotics,T40.4,19,891730,Unreliable
Delaware,2010,Other synthetic narcotics,T40.4,14,897934,Unreliable
Delaware,2011,Other synthetic narcotics,T40.4,13,907135,Unreliable
Delaware,2012,Other synthetic narcotics,T40.4,17,917092,Unreliable
Delaware,2013,Other synthetic narcotics,T40.4,22,925749,2.4
Delaware,2014,Other synthetic narcotics,T40.4,29,935614,3.1
Delaware,2015,Other synthetic narcotics,T40.4,38,945934,4
Delaware,2016,Other synthetic narcotics,T40.4,79,952065,8.3
Delaware,2017,Other synthetic narcotics,T40.4,178,961939,18.5
Delaware,2018,Other synthetic narcotics,T40.4,296,967171,30.6
Delaware,2019,Other synthetic narcotics,T40.4,343,973764,35.2
Delaware,2020,Other synthetic narcotics,T40.4,361,986809,36.6
District of Columbia,1999,Other synthetic narcotics,T40.4,Suppressed,570213,Suppressed
District of Columbia,2000,Other synthetic narcotics,T40.4,Suppressed,572059,Suppressed
District of Columbia,2001,Other synthetic narcotics,T40.4,Suppressed,574504,Suppressed
District of Columbia,2002,Other synthetic narcotics,T40.4,Suppressed,573158,Suppressed
District of Columbia,2003,Other synthetic narcotics,T40.4,Suppressed,568502,Suppressed
District of Columbia,2004,Other synthetic narcotics,T40.4,Suppressed,567754,Suppressed
District of Columbia,2005,Other synthetic narcotics,T40.4,Suppressed,567136,Suppressed
District of Columbia,2006,Other synthetic narcotics,T40.4,Suppressed,570681,Suppressed
District of Columbia,2007,Other synthetic narcotics,T40.4,Suppressed,574404,Suppressed
District of Columbia,2008,Other synthetic narcotics,T40.4,Suppressed,580236,Suppressed
District of Columbia,2009,Other synthetic narcotics,T40.4,Suppressed,592228,Suppressed
District of Columbia,2010,Other synthetic narcotics,T40.4,Suppressed,601723,Suppressed
