Notes,State,State Code,Year,Year Code,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,1999,1999,Other opioids,T40.2,10,4430141,Unreliable
,Alabama,1,1999,1999,Methadone,T40.3,16,4430141,Unreliable
,Alabama,1,1999,1999,Other synthetic narcotics,T40.4,10,4430141,Unreliable
,Alabama,1,2000,2000,Other opioids,T40.2,26,4447100,0.6
,Alabama,1,2000,2000,Methadone,T40.3,12,4447100,Unreliable
,Alabama,1,2000,2000,Other synthetic narcotics,T40.4,11,4447100,Unreliable
,Alabama,1,2001,2001,Other opioids,T40.2,22,4467634,0.5
,Alabama,1,2001,2001,Methadone,T40.3,26,4467634,0.6
,Alabama,1,2001,2001,Other synthetic narcotics,T40.4,Suppressed,4467634,Suppressed
,Alabama,1,2002,2002,Other opioids,T40.2,30,4480089,0.7
,Alabama,1,2002,2002,Methadone,T40.3,33,4480089,0.7
,Alabama,1,2002,2002,Other synthetic narcotics,T40.4,Suppressed,4480089,Suppressed
,Alabama,1,2003,2003,Other opioids,T40.2,22,4503491,0.5
,Alabama,1,2003,2003,Methadone,T40.3,25,4503491,0.6
,Alabama,1,2003,2003,Other synthetic narcotics,T40.4,Suppressed,4503491,Suppressed
,Alabama,1,2004,2004,Other opioids,T40.2,32,4530729,0.7
,Alabama,1,2004,2004,Methadone,T40.3,46,4530729,1
,Alabama,1,2004,2004,Other synthetic narcotics,T40.4,12,4530729,Unreliable
,Alabama,1,2005,2005,Other opioids,T40.2,24,4569805,0.5
,Alabama,1,2005,2005,Methadone,T40.3,47,4569805,1
,Alabama,1,2005,2005,Other synthetic narcotics,T40.4,11,4569805,Unreliable
,Alabama,1,2006,2006,Other opioids,T40.2,49,4628981,1.1
,Alabama,1,2006,2006,Methadone,T40.3,65,4628981,1.4
,Alabama,1,2006,2006,Other synthetic narcotics,T40.4,22,4628981,0.5
,Alabama,1,2007,2007,Other opioids,T40.2,66,4672840,1.4
,Alabama,1,2007,2007,Methadone,T40.3,86,4672840,1.8
,Alabama,1,2007,2007,Other synthetic narcotics,T40.4,21,4672840,0.4
,Alabama,1,2008,2008,Other opioids,T40.2,73,4718206,1.5
,Alabama,1,2008,2008,Methadone,T40.3,101,4718206,2.1
,Alabama,1,2008,2008,Other synthetic narcotics,T40.4,19,4718206,Unreliable
,Alabama,1,2009,2009,Other opioids,T40.2,92,4757938,1.9
,Alabama,1,2009,2009,Methadone,T40.3,88,4757938,1.8
,Alabama,1,2009,2009,Other synthetic narcotics,T40.4,31,4757938,0.7
,Alabama,1,2010,2010,Other opioids,T40.2,82,4779736,1.7
,Alabama,1,2010,2010,Methadone,T40.3,78,4779736,1.6
,Alabama,1,2010,2010,Other synthetic narcotics,T40.4,34,4779736,0.7
,Alabama,1,2011,2011,Other opioids,T40.2,92,4802740,1.9
,Alabama,1,2011,2011,Methadone,T40.3,63,4802740,1.3
,Alabama,1,2011,2011,Other synthetic narcotics,T40.4,19,4802740,Unreliable
,Alabama,1,2012,2012,Other opioids,T40.2,62,4822023,1.3
,Alabama,1,2012,2012,Methadone,T40.3,55,4822023,1.1
,Alabama,1,2012,2012,Other synthetic narcotics,T40.4,16,4822023,Unreliable
,Alabama,1,2013,2013,Other opioids,T40.2,65,4833722,1.3
,Alabama,1,2013,2013,Methadone,T40.3,41,4833722,0.8
,Alabama,1,2013,2013,Other synthetic narcotics,T40.4,30,4833722,0.6
,Alabama,1,2014,2014,Other opioids,T40.2,90,4849377,1.9
,Alabama,1,2014,2014,Methadone,T40.3,44,4849377,0.9
,Alabama,1,2014,2014,Other synthetic narcotics,T40.4,47,4849377,1
,Alabama,1,2015,2015,Other opioids,T40.2,87,4858979,1.8
,Alabama,1,2015,2015,Methadone,T40.3,40,4858979,0.8
,Alabama,1,2015,2015,Other synthetic narcotics,T40.4,70,4858979,1.4
,Alabama,1,2016,2016,Other opioids,T40.2,94,4863300,1.9
,Alabama,1,2016,2016,Methadone,T40.3,34,4863300,0.7
,Alabama,1,2016,2016,Other synthetic narcotics,T40.4,157,4863300,3.2
,Alabama,1,2017,2017,Other opioids,T40.2,141,4874747,2.9
,Alabama,1,2017,2017,Methadone,T40.3,30,4874747,0.6
,Alabama,1,2017,2017,Other synthetic narcotics,T40.4,198,4874747,4.1
,Alabama,1,2018,2018,Other opioids,T40.2,126,4887871,2.6
,Alabama,1,2018,2018,Methadone,T40.3,32,4887871,0.7
,Alabama,1,2018,2018,Other synthetic narcotics,T40.4,147,4887871,3
,Alabama,1,2019,2019,Other opioids,T40.2,135,4903185,2.8
,Alabama,1,2019,2019,Methadone,T40.3,32,4903185,0.7
,Alabama,1,2019,2019,Other synthetic narcotics,T40.4,213,4903185,4.3
,Alabama,1,2020,2020,Other opioids,T40.2,122,4921532,2.5
,Alabama,1,2020,2020,Methadone,T40.3,26,4921532,0.5
,Alabama,1,2020,2020,Other synthetic narcotics,T40.4,442,4921532,9
,Alaska,2,1999,1999,Other opioids,T40.2,10,624779,Unreliable
,Alaska,2,1999,1999,Methadone,T40.3,Suppressed,624779,Suppressed
,Alaska,2,1999,1999,Other synthetic narcotics,T40.4,Suppressed,624779,Suppressed
,Alaska,2,2000,2000,Other opioids,T40.2,21,626932,3.3
,Alaska,2,2000,2000,Methadone,T40.3,Suppressed,626932,Suppressed
,Alaska,2,2000,2000,Other synthetic narcotics,T40.4,Suppressed,626932,Suppressed
