State,Year,Deaths,Population,Crude Rate
Alabama,2019,450,4903185,9.2
Alaska,2019,88,731545,12
Arizona,2019,1337,7278717,18.4
Arkansas,2019,219,3017804,7.3
California,2019,3585,39512223,9.1
Colorado,2019,694,5758736,12.1
Connecticut,2019,1137,3565287,31.9
Delaware,2019,407,973764,41.8
District of Columbia,2019,283,705749,40.1
Florida,2019,4160,21477737,19.4
Georgia,2019,995,10617423,9.4
Hawaii,2019,65,1415872,4.6
Idaho,2019,139,1787065,7.8
Illinois,2019,2430,12671821,19.2
Indiana,2019,1340,6732219,19.9
Iowa,2019,167,3155070,5.3
Kansas,2019,202,2913314,6.9
Kentucky,2019,1079,4467673,24.2
Louisiana,2019,618,4648794,13.3
Maine,2019,333,1344212,24.8
Maryland,2019,2199,6045680,36.4
Massachusetts,2019,2058,6892503,29.9
Michigan,2019,1914,9986857,19.2
Minnesota,2019,449,5639632,8
Mississippi,2019,269,2976149,9
Missouri,2019,1148,6137428,18.7
Montana,2019,72,1068778,6.7
Nebraska,2019,73,1934408,3.8
Nevada,2019,391,3080156,12.7
New Hampshire,2019,370,1359711,27.2
New Jersey,2019,2619,8882190,29.5
New Mexico,2019,425,2096829,20.3
New York,2019,3236,19453561,16.6
North Carolina,2019,1986,10488084,18.9
North Dakota,2019,43,762062,5.6
Ohio,2019,3689,11689100,31.6
Oklahoma,2019,300,3956971,7.6
Oregon,2019,359,4217737,8.5
Pennsylvania,2019,3277,12801989,25.6
Rhode Island,2019,279,1059361,26.3
South Carolina,2019,933,5148714,18.1
South Dakota,2019,42,884659,4.7
Tennessee,2019,1649,6829174,24.1
Texas,2019,1979,28995881,6.8
Utah,2019,411,3205958,12.8
Vermont,2019,122,623989,19.6
Virginia,2019,1336,8535519,15.7
Washington,2019,863,7614893,11.3
West Virginia,2019,704,1792147,39.3
Wisconsin,2019,1009,5822434,17.3
Wyoming,2019,52,578759,9
