Date,GRA Purchases,PRGT 1/2/,Totals,Year,Total (Billions),World GDP (Billions),Total Adjusted for GDP
08/31/2022,93769635059.00,15254184552.00,109023819611.00,2022,109.0238196,103867.109,0.104964719
12/31/2021,89474552025.00,14554823681.00,104029375706.00,2021,104.0293757,96292.574,0.108034682
12/31/2020,93408630285.00,12481816684.00,105890446969.00,2020,105.890447,85238.623,0.124228247
12/31/2019,66945509865.00,6590835450.00,73536345315.00,2019,73.53634532,87536.338,0.08400665
12/31/2018,55395611392.00,6426181029.00,61821792421.00,2018,61.82179242,86084.955,0.071814863
12/31/2017,39585385873.00,6522280669.00,46107666542.00,2017,46.10766654,80945.405,0.056961438
12/31/2016,49267630851.00,6482647937.00,55750278788.00,2016,55.75027879,76267.375,0.073098463
12/31/2015,50757840741.00,6575911158.00,57333751899.00,2015,57.3337519,75042.63,0.076401576
12/31/2014,69041563463.00,6292755583.00,75334319046.00,2014,75.33431905,79321.72,0.094973128
12/31/2013,83899249061.00,6174392682.00,90073641743.00,2013,90.07364174,77290.82,0.116538603
12/31/2012,90042348252.00,5766292503.00,95808640755.00,2012,95.80864076,75116.959,0.127545952
12/31/2011,87276915790.00,5308609594.00,92585525384.00,2011,92.58552538,73747.749,0.125543527
12/31/2010,55620104510.00,4819344134.00,60439448644.00,2010,60.43944864,66435.818,0.090974192
12/31/2009,37221142436.00,5079705286.00,42300847722.00,2009,42.30084772,60731.151,0.069652636
12/31/2008,17514964723.00,3972372030.00,21487336753.00,2008,21.48733675,64108.44,0.033517173
12/31/2007,6036146757.00,3796945581.00,9833092338.00,2007,9.833092338,58443.072,0.016825078
12/31/2006,9822640239.00,3844020520.00,13666660759.00,2006,13.66666076,51762.962,0.026402393
12/31/2005,28432143237.00,6282121668.00,34714264905.00,2005,34.71426491,47792.249,0.072635763
12/31/2004,55373766674.00,6766029353.00,62139796027.00,2004,62.13979603,44116.922,0.140852519
12/31/2003,65032062712.00,6880893268.00,71912955980.00,2003,71.91295598,39193.343,0.183482578
12/31/2002,63601058794.00,6868671012.00,70469729806.00,2002,70.46972981,34900.086,0.201918499
12/31/2001,53477225409.00,6424578684.00,59901804093.00,2001,59.90180409,33788.307,0.177285604
12/31/2000,42990531049.00,6331595468.00,49322126517.00,2000,49.32212652,34039.874,0.14489515
12/31/1999,51061861875.00,6434274362.00,57496136237.00,1999,57.49613624,32949.687,0.17449676
12/31/1998,60451017051.00,6288825925.00,66739842976.00,1998,66.73984298,31824.477,0.209712301
12/31/1997,46559033783.00,6009867422.00,52568901205.00,1997,52.56890121,31979.647,0.164382369
12/31/1996,36127472805.00,5881609752.00,42009082557.00,1996,42.00908256,32068.872,0.130996446
12/31/1995,35929173412.00,5657438528.00,41586611940.00,1995,41.58661194,31199.71,0.133291662
12/31/1994,25611676952.00,4599768498.00,30211445450.00,1994,30.21144545,27985.29,0.107954734
12/31/1993,25196745031.00,3942792899.00,29139537930.00,1993,29.13953793,26039.542,0.111904956
12/31/1992,23967172718.00,3804463796.00,27771636514.00,1992,27.77163651,25328.261,0.109646835
12/31/1991,23378573926.00,3285717796.00,26664291722.00,1991,26.66429172,24492.481,0.108867255
12/31/1990,20731851093.00,2571911617.00,23303762710.00,1990,23.30376271,23654.018,0.098519257
12/31/1989,22315104224.00,2334886562.00,24649990786.00,1989,24.64999079,20122.142,0.122501823
12/31/1988,24750004884.00,1773964293.00,26523969177.00,1988,26.52396918,19125.335,0.138684991
12/31/1987,28751979125.00,1866342930.00,30618322055.00,1987,30.61832206,17008.945,0.180013058
12/31/1986,33334905644.00,2013169931.00,35348075575.00,1986,35.34807558,14771.979,0.239291401
12/31/1985,35194787249.00,2470247948.00,37665035197.00,1985,37.6650352,12523.328,0.300758993
12/31/1984,34936772393.00,2769874900.00,37706647293.00,1984,37.70664729,11997.41,0.314289895
